Num Gasto;Cod Empleado;Nombre;Apellidos;Fecha Incorporacion;Departamento;Tipo Contrato;Sexo;Casado;Jornada;Fecha Nacimiento;NIF;Fecha Gasto;Concepto;IVA;Plazo Pago; Importe ;Pagado;Fecha Pagado
805;AB010;Juan José;Conde Muñoz;18/06/2009;COMERCIAL;TEMPORAL;HOMBRE;FALSO;COMPLETA;;05648975L;18/04/2024;MATERIAL;16%;60; 225,00 € ;VERDADERO;02/06/2024
857;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;16/04/2024;DESPLAZAMIENTO;16%;60; 40,23 € ;VERDADERO;24/06/2024
915;FG856;Norberto;Ferrando Luna;14/08/2003;COMERCIAL;INDEFINIDO;HOMBRE;FALSO;MAÑANA;;14796258k;03/04/2024;DESPLAZAMIENTO;16%;60; 45,60 € ;VERDADERO;26/05/2024
994;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;15/04/2024;MATERIAL;16%;60; 30,23 € ;VERDADERO;19/06/2024
1012;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;26/04/2024;DESPLAZAMIENTO;16%;60; 258,60 € ;VERDADERO;09/06/2024
1039;AB009;Eduardo;Sánchez Martín;11/06/1997;ADMINISTRACION;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;25/01/1976;03698745h;05/04/2024;MATERIAL;16%;60; 45,60 € ;VERDADERO;22/04/2024
1042;AB010;Juan José;Conde Muñoz;18/06/2009;COMERCIAL;TEMPORAL;HOMBRE;FALSO;COMPLETA;;05648975L;23/04/2024;DESPLAZAMIENTO;16%;60; 136,00 € ;VERDADERO;12/05/2024
1048;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;21/04/2024;MATERIAL;16%;60; 40,23 € ;VERDADERO;19/05/2024
1087;AB001;Fernando;García Hernández;19/03/2000;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;MAÑANA;16/05/1970;48979845H;04/04/2024;COMIDA;16%;30; 80,60 € ;VERDADERO;08/04/2024
1088;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;18/04/2024;COMIDA;16%;30; 35,80 € ;VERDADERO;20/04/2024
1102;CD132;Sebastian;Arosa Villa;03/01/2010;COMERCIAL;PRACTICAS;HOMBRE;VERDADERO;TARDE;12/08/1987;78961262S;21/04/2024;ALOJAMIENTO;8%;30; 59,60 € ;VERDADERO;04/05/2024
1150;AB005;Marcial;Lorenzo Bejarano;16/03/2009;ADMINISTRACION;TEMPORAL;HOMBRE;FALSO;COMPLETA;21/05/1986;00289637A;09/04/2024;ALOJAMIENTO;8%;30; 125,00 € ;VERDADERO;22/06/2024
