Num Gasto;Cod Empleado;Nombre;Apellidos;Fecha Incorporacion;Departamento;Tipo Contrato;Sexo;Casado;Jornada;Fecha Nacimiento;NIF;Fecha Gasto;Concepto;IVA;Plazo Pago; Importe ;Pagado;Fecha Pagado
242;CD128;Patricia;Jiménez García;13/07/1998;CONTABILIDAD;INDEFINIDO;MUJER;VERDADERO;TARDE;;08974612N;16/03/2024;COMIDA;16%;30; 25,00 € ;VERDADERO;14/05/2024
252;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;07/03/2024;COMIDA;16%;30; 80,60 € ;VERDADERO;19/03/2024
256;CD126;Alejandro;Moreno Nieto;08/03/1998;CONTABILIDAD;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;13/06/1966;01298745c;31/03/2024;ALOJAMIENTO;8%;30; 125,00 € ;VERDADERO;04/06/2024
293;CD128;Patricia;Jiménez García;13/07/1998;CONTABILIDAD;INDEFINIDO;MUJER;VERDADERO;TARDE;;08974612N;18/03/2024;ALOJAMIENTO;8%;30; 59,60 € ;VERDADERO;18/03/2024
330;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;15/03/2024;MATERIAL;16%;60; 45,60 € ;VERDADERO;13/06/2024
381;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;14/03/2024;ALOJAMIENTO;8%;30; 80,00 € ;VERDADERO;15/05/2024
426;AB006;Emilio;Fuentes Arona;23/06/2004;COMERCIAL;INDEFINIDO;HOMBRE;VERDADERO;MAÑANA;;48129845H;25/03/2024;MATERIAL;16%;60; 40,23 € ;VERDADERO;27/05/2024
454;AB005;Marcial;Lorenzo Bejarano;16/03/2009;ADMINISTRACION;TEMPORAL;HOMBRE;FALSO;COMPLETA;21/05/1986;00289637A;28/03/2024;COMIDA;16%;30; 67,35 € ;VERDADERO;22/04/2024
472;AB010;Juan José;Conde Muñoz;18/06/2009;COMERCIAL;TEMPORAL;HOMBRE;FALSO;COMPLETA;;05648975L;29/03/2024;COMIDA;16%;30; 25,00 € ;VERDADERO;01/04/2024
490;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;24/03/2024;COMIDA;16%;30; 25,00 € ;VERDADERO;15/06/2024
503;AB002;Lucía;Moreno Luna;14/09/1992;RRHH;INDEFINIDO;MUJER;VERDADERO;COMPLETA;15/01/1968;13213246R;07/03/2024;ALOJAMIENTO;8%;30; 135,00 € ;VERDADERO;13/05/2024
514;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;23/03/2024;MATERIAL;16%;60; 185,00 € ;VERDADERO;31/03/2024
548;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;27/03/2024;COMIDA;16%;30; 345,23 € ;VERDADERO;25/05/2024
602;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;12/03/2024;DESPLAZAMIENTO;16%;60; 258,60 € ;VERDADERO;28/03/2024
660;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;06/03/2024;DESPLAZAMIENTO;16%;60; 450,00 € ;VERDADERO;17/03/2024
697;AB004;Susana;Bravo Nieto;14/10/2010;CONTABILIDAD;PRACTICAS;MUJER;VERDADERO;COMPLETA;15/11/1985;78974612N;29/03/2024;DESPLAZAMIENTO;16%;60; 80,60 € ;VERDADERO;13/04/2024
740;AB008;Nuria;Vidal Bermejo;04/04/2009;ADMINISTRACION;TEMPORAL;MUJER;FALSO;COMPLETA;;13256896G;14/03/2024;DESPLAZAMIENTO;16%;60; 225,00 € ;VERDADERO;14/03/2024
824;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;07/03/2024;MATERIAL;16%;60; 136,00 € ;VERDADERO;18/05/2024
835;CD128;Patricia;Jiménez García;13/07/1998;CONTABILIDAD;INDEFINIDO;MUJER;VERDADERO;TARDE;;08974612N;07/03/2024;DESPLAZAMIENTO;16%;60; 40,23 € ;VERDADERO;26/03/2024
839;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;06/03/2024;MATERIAL;16%;60; 30,23 € ;VERDADERO;18/04/2024
851;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;08/03/2024;MATERIAL;16%;60; 25,00 € ;VERDADERO;26/03/2024
860;AB005;Marcial;Lorenzo Bejarano;16/03/2009;ADMINISTRACION;TEMPORAL;HOMBRE;FALSO;COMPLETA;21/05/1986;00289637A;11/03/2024;MATERIAL;16%;60; 136,00 € ;VERDADERO;27/04/2024
874;FG860;Cristina;Lorenzo Cobo;14/01/1997;RRHH;INDEFINIDO;MUJER;FALSO;COMPLETA;;47845613Z;24/03/2024;DESPLAZAMIENTO;16%;60; 67,35 € ;VERDADERO;21/04/2024
884;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;28/03/2024;DESPLAZAMIENTO;16%;60; 136,00 € ;VERDADERO;14/05/2024
894;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;31/03/2024;MATERIAL;16%;60; 45,60 € ;VERDADERO;31/05/2024
901;FG855;David;Peña Ramírez;20/11/2002;RRHH;INDEFINIDO;HOMBRE;FALSO;COMPLETA;;96328741g;26/03/2024;DESPLAZAMIENTO;16%;60; 47,25 € ;VERDADERO;05/06/2024
904;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;10/03/2024;MATERIAL;16%;60; 80,60 € ;VERDADERO;02/06/2024
936;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;30/03/2024;DESPLAZAMIENTO;16%;60; 345,23 € ;VERDADERO;30/05/2024
1003;FG855;David;Peña Ramírez;20/11/2002;RRHH;INDEFINIDO;HOMBRE;FALSO;COMPLETA;;96328741g;27/03/2024;MATERIAL;16%;60; 125,68 € ;VERDADERO;20/06/2024
1050;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;11/03/2024;MATERIAL;16%;60; 80,60 € ;VERDADERO;11/05/2024
1056;AB005;Marcial;Lorenzo Bejarano;16/03/2009;ADMINISTRACION;TEMPORAL;HOMBRE;FALSO;COMPLETA;21/05/1986;00289637A;12/03/2024;MATERIAL;16%;60; 136,00 € ;VERDADERO;05/05/2024
1100;FG860;Cristina;Lorenzo Cobo;14/01/1997;RRHH;INDEFINIDO;MUJER;FALSO;COMPLETA;;47845613Z;01/03/2024;ALOJAMIENTO;8%;30; 63,25 € ;VERDADERO;29/03/2024
1111;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;08/03/2024;COMIDA;16%;30; 35,80 € ;VERDADERO;22/04/2024
1112;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;03/03/2024;COMIDA;16%;30; 67,35 € ;VERDADERO;16/04/2024
1135;FG860;Cristina;Lorenzo Cobo;14/01/1997;RRHH;INDEFINIDO;MUJER;FALSO;COMPLETA;;47845613Z;28/03/2024;COMIDA;16%;30; 125,68 € ;FALSO;
