Num Gasto;Cod Empleado;Nombre;Apellidos;Fecha Incorporacion;Departamento;Tipo Contrato;Sexo;Casado;Jornada;Fecha Nacimiento;NIF;Fecha Gasto;Concepto;IVA;Plazo Pago; Importe ;Pagado;Fecha Pagado
443;AB001;Fernando;García Hernández;19/03/2000;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;MAÑANA;16/05/1970;48979845H;06/06/2024;MATERIAL;16%;60; 90,63 € ;VERDADERO;11/07/2024
444;CD123;Sandra;Rupérez Martín;21/05/1998;RRHH;INDEFINIDO;MUJER;FALSO;MAÑANA;21/08/1993;78979845F;30/06/2024;ALOJAMIENTO;8%;30; 75,00 € ;VERDADERO;03/09/2024
447;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;18/06/2024;COMIDA;16%;30; 40,23 € ;VERDADERO;25/08/2024
471;FG860;Cristina;Lorenzo Cobo;14/01/1997;RRHH;INDEFINIDO;MUJER;FALSO;COMPLETA;;47845613Z;16/06/2024;MATERIAL;16%;60; 258,60 € ;VERDADERO;20/07/2024
480;AB006;Emilio;Fuentes Arona;23/06/2004;COMERCIAL;INDEFINIDO;HOMBRE;VERDADERO;MAÑANA;;48129845H;30/06/2024;COMIDA;16%;30; 35,80 € ;VERDADERO;02/07/2024
494;AB005;Marcial;Lorenzo Bejarano;16/03/2009;ADMINISTRACION;TEMPORAL;HOMBRE;FALSO;COMPLETA;21/05/1986;00289637A;30/06/2024;COMIDA;16%;30; 40,23 € ;VERDADERO;17/08/2024
573;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;07/06/2024;DESPLAZAMIENTO;16%;60; 90,63 € ;VERDADERO;05/08/2024
589;CD126;Alejandro;Moreno Nieto;08/03/1998;CONTABILIDAD;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;13/06/1966;01298745c;17/06/2024;ALOJAMIENTO;8%;30; 80,00 € ;VERDADERO;14/08/2024
598;FG852;Cristina;Cobo Sánchez;03/07/2003;ADMINISTRACION;INDEFINIDO;MUJER;VERDADERO;MAÑANA;14/06/1980;79845133G;28/06/2024;ALOJAMIENTO;8%;30; 75,00 € ;VERDADERO;23/08/2024
659;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;11/06/2024;MATERIAL;16%;60; 80,60 € ;VERDADERO;12/08/2024
674;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;29/06/2024;DESPLAZAMIENTO;16%;60; 40,23 € ;VERDADERO;24/08/2024
683;AB006;Emilio;Fuentes Arona;23/06/2004;COMERCIAL;INDEFINIDO;HOMBRE;VERDADERO;MAÑANA;;48129845H;12/06/2024;DESPLAZAMIENTO;16%;60; 125,68 € ;VERDADERO;19/08/2024
693;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;27/06/2024;MATERIAL;16%;60; 258,60 € ;VERDADERO;28/08/2024
705;CD132;Sebastian;Arosa Villa;03/01/2010;COMERCIAL;PRACTICAS;HOMBRE;VERDADERO;TARDE;12/08/1987;78961262S;16/06/2024;COMIDA;16%;30; 80,60 € ;VERDADERO;18/08/2024
720;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;15/06/2024;ALOJAMIENTO;8%;30; 63,25 € ;VERDADERO;29/07/2024
763;CD131;David;Huertas Hernández;15/03/2004;RRHH;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;15/02/1979;92147893y;02/06/2024;COMIDA;16%;30; 45,60 € ;VERDADERO;29/06/2024
777;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;14/06/2024;COMIDA;16%;30; 125,68 € ;VERDADERO;20/06/2024
787;FG861;Lucía;Prieto Martín;04/08/1999;CONTABILIDAD;INDEFINIDO;MUJER;FALSO;MAÑANA;03/09/1968;48931234F;11/06/2024;DESPLAZAMIENTO;16%;60; 345,23 € ;VERDADERO;15/06/2024
796;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;23/06/2024;DESPLAZAMIENTO;16%;60; 35,80 € ;VERDADERO;30/06/2024
829;CD126;Alejandro;Moreno Nieto;08/03/1998;CONTABILIDAD;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;13/06/1966;01298745c;06/06/2024;ALOJAMIENTO;8%;30; 50,00 € ;VERDADERO;02/09/2024
907;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;03/06/2024;MATERIAL;16%;60; 136,00 € ;VERDADERO;15/07/2024
952;CD123;Sandra;Rupérez Martín;21/05/1998;RRHH;INDEFINIDO;MUJER;FALSO;MAÑANA;21/08/1993;78979845F;22/06/2024;MATERIAL;16%;60; 125,68 € ;VERDADERO;26/08/2024
962;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;04/06/2024;MATERIAL;16%;60; 40,23 € ;FALSO;
967;AB003;Jesús;Vidal Sánchez;21/12/2002;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;TARDE;15/04/1979;98756456F;18/06/2024;DESPLAZAMIENTO;16%;60; 185,00 € ;VERDADERO;23/07/2024
974;FG855;David;Peña Ramírez;20/11/2002;RRHH;INDEFINIDO;HOMBRE;FALSO;COMPLETA;;96328741g;19/06/2024;DESPLAZAMIENTO;16%;60; 185,00 € ;VERDADERO;29/08/2024
1030;CD126;Alejandro;Moreno Nieto;08/03/1998;CONTABILIDAD;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;13/06/1966;01298745c;05/06/2024;DESPLAZAMIENTO;16%;60; 125,68 € ;VERDADERO;22/07/2024
1044;FG861;Lucía;Prieto Martín;04/08/1999;CONTABILIDAD;INDEFINIDO;MUJER;FALSO;MAÑANA;03/09/1968;48931234F;14/06/2024;MATERIAL;16%;60; 25,00 € ;VERDADERO;02/07/2024
1062;AB001;Fernando;García Hernández;19/03/2000;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;MAÑANA;16/05/1970;48979845H;18/06/2024;DESPLAZAMIENTO;16%;60; 80,60 € ;FALSO;
1067;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;26/06/2024;MATERIAL;16%;60; 450,00 € ;VERDADERO;17/08/2024
1076;FG861;Lucía;Prieto Martín;04/08/1999;CONTABILIDAD;INDEFINIDO;MUJER;FALSO;MAÑANA;03/09/1968;48931234F;15/06/2024;MATERIAL;16%;60; 125,68 € ;FALSO;
1090;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;13/06/2024;MATERIAL;16%;60; 258,60 € ;VERDADERO;10/08/2024
1118;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;20/06/2024;COMIDA;16%;30; 29,63 € ;FALSO;
1126;CD132;Sebastian;Arosa Villa;03/01/2010;COMERCIAL;PRACTICAS;HOMBRE;VERDADERO;TARDE;12/08/1987;78961262S;15/06/2024;ALOJAMIENTO;8%;30; 80,00 € ;FALSO;
1169;CD132;Sebastian;Arosa Villa;03/01/2010;COMERCIAL;PRACTICAS;HOMBRE;VERDADERO;TARDE;12/08/1987;78961262S;10/06/2024;COMIDA;16%;30; 67,35 € ;VERDADERO;15/07/2024
