Num Gasto;Cod Empleado;Nombre;Apellidos;Fecha Incorporacion;Departamento;Tipo Contrato;Sexo;Casado;Jornada;Fecha Nacimiento;NIF;Fecha Gasto;Concepto;IVA;Plazo Pago; Importe ;Pagado;Fecha Pagado
436;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;23/02/2024;MATERIAL;16%;60; 35,80 € ;VERDADERO;27/02/2024
540;FG861;Lucía;Prieto Martín;04/08/1999;CONTABILIDAD;INDEFINIDO;MUJER;FALSO;MAÑANA;03/09/1968;48931234F;02/02/2024;COMIDA;16%;30; 29,63 € ;VERDADERO;04/04/2024
549;AB004;Susana;Bravo Nieto;14/10/2010;CONTABILIDAD;PRACTICAS;MUJER;VERDADERO;COMPLETA;15/11/1985;78974612N;14/02/2024;ALOJAMIENTO;8%;30; 125,00 € ;VERDADERO;27/03/2024
673;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;26/02/2024;MATERIAL;16%;60; 47,25 € ;VERDADERO;06/05/2024
695;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;11/02/2024;MATERIAL;16%;60; 45,60 € ;VERDADERO;10/03/2024
716;AB004;Susana;Bravo Nieto;14/10/2010;CONTABILIDAD;PRACTICAS;MUJER;VERDADERO;COMPLETA;15/11/1985;78974612N;19/02/2024;ALOJAMIENTO;8%;30; 75,00 € ;VERDADERO;19/02/2024
800;CD126;Alejandro;Moreno Nieto;08/03/1998;CONTABILIDAD;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;13/06/1966;01298745c;03/02/2024;MATERIAL;16%;60; 185,00 € ;VERDADERO;11/04/2024
850;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;03/02/2024;MATERIAL;16%;60; 345,23 € ;VERDADERO;03/03/2024
861;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;13/02/2024;DESPLAZAMIENTO;16%;60; 80,60 € ;VERDADERO;26/04/2024
866;AB007;María Luisa;Santurce Velilla;26/09/1995;RRHH;INDEFINIDO;MUJER;FALSO;TARDE;29/07/1972;97897533F;08/02/2024;MATERIAL;16%;60; 47,25 € ;VERDADERO;18/03/2024
873;CD131;David;Huertas Hernández;15/03/2004;RRHH;INDEFINIDO;HOMBRE;VERDADERO;COMPLETA;15/02/1979;92147893y;14/02/2024;DESPLAZAMIENTO;16%;60; 25,00 € ;VERDADERO;06/04/2024
886;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;22/02/2024;DESPLAZAMIENTO;16%;60; 90,63 € ;VERDADERO;06/04/2024
931;AB001;Fernando;García Hernández;19/03/2000;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;MAÑANA;16/05/1970;48979845H;02/02/2024;DESPLAZAMIENTO;16%;60; 45,60 € ;VERDADERO;26/02/2024
956;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;01/02/2024;MATERIAL;16%;60; 25,00 € ;VERDADERO;18/02/2024
989;FG860;Cristina;Lorenzo Cobo;14/01/1997;RRHH;INDEFINIDO;MUJER;FALSO;COMPLETA;;47845613Z;09/02/2024;DESPLAZAMIENTO;16%;60; 125,68 € ;VERDADERO;16/03/2024
993;AB001;Fernando;García Hernández;19/03/2000;ADMINISTRACION;INDEFINIDO;HOMBRE;FALSO;MAÑANA;16/05/1970;48979845H;06/02/2024;DESPLAZAMIENTO;16%;60; 25,00 € ;VERDADERO;18/03/2024
999;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;28/02/2024;DESPLAZAMIENTO;16%;60; 80,60 € ;VERDADERO;13/04/2024
1014;CD124;Federico;Bejarano Martínez;25/06/2004;RRHH;INDEFINIDO;HOMBRE;FALSO;MAÑANA;25/03/1973;12345678A;12/02/2024;MATERIAL;16%;60; 185,00 € ;VERDADERO;28/04/2024
1052;FG854;María Elena;Sanchiz Martín;27/09/2008;ADMINISTRACION;TEMPORAL;MUJER;VERDADERO;COMPLETA;16/03/1978;01231321B;17/02/2024;COMIDA;16%;30; 125,68 € ;VERDADERO;09/03/2024
1061;FG861;Lucía;Prieto Martín;04/08/1999;CONTABILIDAD;INDEFINIDO;MUJER;FALSO;MAÑANA;03/09/1968;48931234F;18/02/2024;MATERIAL;16%;60; 47,25 € ;VERDADERO;22/02/2024
1093;CD125;Rafael;Pérez Lorenzo;04/01/2009;ADMINISTRACION;PRACTICAS;HOMBRE;FALSO;TARDE;25/03/1982;64654643R;25/02/2024;ALOJAMIENTO;8%;30; 135,00 € ;VERDADERO;18/04/2024
1119;FG853;Francisco;Campo Sánchez;14/01/2008;RRHH;TEMPORAL;HOMBRE;FALSO;TARDE;14/09/1981;21313564C;17/02/2024;DESPLAZAMIENTO;16%;60; 345,23 € ;FALSO;
1151;CD127;Juan José;Núñez Pérezoso;15/12/2009;CONTABILIDAD;PRACTICAS;HOMBRE;VERDADERO;COMPLETA;15/01/1983;09874214h;21/02/2024;MATERIAL;16%;60; 125,68 € ;FALSO;
